OBJECTID,Angle
1223824,35.7066914
1223825,39.80557109
1223830,35.75388725
1223832,31.75948009
1223836,31.75948009
1223837,-63.83843356
1223838,-63.83843356
1223839,31.75948009
1223842,31.75948009
1223846,31.75948009
1223847,31.75948009
1223848,40.70261334
1223858,40.70261334
1223873,40.70261334
1223875,40.70261334
1223876,40.70261334
1223879,40.70261334
1223882,40.70261334
1223883,40.70261334
1223885,40.70261334
1223888,40.70261334
1223889,40.70261334
1223894,40.70261334
1223895,40.70261334
1223896,40.70261334
1223897,40.70261334
1223906,40.70261334
1223909,40.70261334
1223911,40.70261334
1223916,40.70261334
1223917,40.70261334
1223919,40.70261334
1223922,40.70261334
1223925,40.70261334
1223926,40.70261334
1223931,40.70261334
1223932,40.70261334
1223933,40.70261334
1223940,40.70261334
1223941,40.70261334
1223948,40.70261334
1223949,40.70261334
1223953,40.70261334
1223964,40.70261334
1223970,36.86989765
1223971,36.86989765
1223972,36.86989765
1223978,36.86989765
1223991,36.86989765
1223992,36.86989765
1224003,35.88213725
1224005,35.88213725
1224008,35.88213725
1224009,35.88213725
1224012,35.88213725
1224013,35.88213725
1224015,35.88213725
1224016,35.88213725
1224021,35.88213725
1224024,35.88213725
1224026,35.21759296
1224033,35.21759296
1224034,35.21759296
1224035,35.21759296
1224036,35.21759296
1224037,35.21759296
1224044,35.21759296
1224045,35.21759296
1224047,35.21759296
1224048,35.21759296
1224049,35.21759296
1224054,35.21759296
1224055,35.21759296
1224056,35.21759296
1224063,35.21759296
1224064,35.21759296
1224065,35.21759296
1224066,35.21759296
1224072,35.21759296
1224073,35.21759296
1224075,35.21759296
1224076,35.21759296
1224082,35.21759296
1224083,35.21759296
1224084,35.21759296
1224085,35.21759296
1224086,35.21759296
1224092,35.21759296
1224093,35.21759296
1224094,35.21759296
1224095,35.21759296
1224101,35.21759296
1224102,35.21759296
1224103,35.21759296
1224107,35.21759296
1224108,35.21759296
1224109,35.21759296
1224110,35.21759296
1224111,35.21759296
1224117,35.88213725
1224118,35.21759296
1224125,35.21759296
1224126,35.21759296
1224128,35.21759296
1224130,35.21759296
1224131,14.42077313
1224133,14.42077313
1224136,14.42077313
1224137,14.42077313
1224142,14.42077313
1224143,14.42077313
1224156,14.42077313
1224157,14.42077313
1224160,14.42077313
