label,StreetNa_1,county,labelDirec,Angle
Ontario Street,E Ontario St,Cook County,L,88.87669729
Huron Street,E Huron St,Cook County,L,88.83086067
Illinois Street,E Illinois St,Cook County,,88.84266693
Lake Shore Drive,N Lake Shore Dr,Cook County,L,-32.00538321
McClurg Court,N McClurg Ct,Cook County,L,-1.397181028
Ocean Drive,Ocean Dr,Miami-Dade County,R,-1.808739321
Lenox Avenue,Lenox Ave,Miami-Dade County,L,-0.987760403
Michigan Avenue,Michigan Ave,Miami-Dade County,R,-1.468800715
Pennsylvania Avenue,Pennsylvania Ave,Miami-Dade County,L,0
Drexel Avenue,Drexel Ave,Miami-Dade County,R,-1.548157704
Washington Avenue,Washington Ave,Miami-Dade County,L,-2.353296865
Grand Avenue,E Grand Ave,Cook County,R,88.70783311
,,60654,,0.00084006
State Street,S State St,Cook County,R,-1.789910609
Michigan Avenue,N Lower Michigan Ave,Cook County,,-3.433630367
Michigan Avenue,N Upper Michigan Ave,Cook County,,0
Michigan Avenue,N Michigan Ave,Cook County,L,-2.792702367
Jefferson Avenue,Jefferson Ave,Miami-Dade County,L,-1.859599338
Meridian Avenue,Meridian Ave,Miami-Dade County,L,0
North Lincoln Lane,Lincoln Ln N,Miami-Dade County,R,88.79395122
Lincoln Road,Lincoln Rd Mall,Miami-Dade County,R,0
Euclid Avenue,Euclid Ave,Miami-Dade County,L,-1.193489421
Walton Street,E Walton Pl,Cook County,R,88.62790835
Dayton Street,N Dayton St,Cook County,L,-6.009005959
Oak Street,E Oak St,Cook County,,88.60281897
Rush Street,N Rush St,Cook County,R,-30.96375653
Elm Street,E Elm St,Cook County,R,88.82787138
Pearson Street,E Pearson St,Cook County,L,89.58179006
State Street,N State St,Cook County,L,0
Slate Parkway,N State St,Cook County,L,-0.622755686
Dearborn Street,N Dearborn St,Cook County,L,-1.301952672
LaSalle Drive,N LaSalle Dr,Cook County,L,-3.433630366
LaSalle Drive,N LaSalle St,Cook County,R,-4.085616768
Erie Street,W Erie St,Cook County,L,88.84654955
Orleans Street,N Orleans St,Cook County,R,8.746162264
Kinzie Street,W Kinzie St,Cook County,R,89.23610154
Grand Avenue,W Grand Ave,Cook County,L,88.49256424
,,IL,Grand Avenue,E Grand Ave
Hubbard Street,W Hubbard St,Cook County,R,88.13737905
Hubbard Street,E Hubbard St,Cook County,L,89.0036521
Illinois Street,W Illinois St,Cook County,R,88.63607247
Huron Street,W Huron St,Cook County,L,89.61547034
Ohio Street,W Ohio St,Cook County,R,0
Ontario Street,W Ontario St,Cook County,R,0
Superior Street,W Superior St,Cook County,L,88.46222761
Superior Street,E Superior St,Cook County,L,88.74554838
Elm Street,W Elm St,Cook County,R,89.61547034
Maple Street,W Maple St,Cook County,L,88.05191499
Division Street,W Division St,Cook County,L,89.22577983
Division Street,E Division St,Cook County,R,89.06080905
Bellevue Place,E Bellevue Pl,Cook County,R,89.0556496
Chicago Avenue,W Chicago Ave,Cook County,R,89.44909602
Michigan Avenue,S Michigan Ave,Cook County,L,-0.716159944
Newbury Street,Newbury St,Suffolk County,L,75.14138555
,,2116,,0.001942807
,,MA,Newbury Street,Newbury St
,,2115,,0.002083891
,Boylston St,Suffolk County,R,77.73522627
,Berkeley St,Suffolk County,R,-26.56505118
,Clarendon St,Suffolk County,R,-26.56505117
,Dartmouth St,Suffolk County,L,-27.1213034
,Gloucester St,Suffolk County,L,-28.21735586
,Hereford St,Suffolk County,L,-26.56505118
,Arlington St,Suffolk County,,-22.83365418
,Stuart St,Suffolk County,,77.90524292
,Stanhope St,Suffolk County,,75.37912601
,Exeter St,Suffolk County,,-26.56505118
,,Suffolk County,,88.15238973
,Cambria St,Suffolk County,,0
,Dalton St,Suffolk County,,-26.25865955
,Scotia St,Suffolk County,,-80.28331418
,Belvidere St,Suffolk County,,-81.55247275
,St Germain St,Suffolk County,,-81.01726296
,Clearway St,Suffolk County,,-80.94927832
,,67801,,0.012712065
Lincoln Road,Lincoln Rd,Miami-Dade County,R,88.60281897
Collins Avenue,Collins Ave,Miami-Dade County,L,8.297144969
P St NW,P St NW,District of Columbia County,,88.55344431
Wisconsin Ave NW,Wisconsin Ave NW,District of Columbia County,,-1.245364271
M St NW,M St NW,District of Columbia County,,88.61964593
29th St NW,29th St NW,District of Columbia County,,-1.49433359
M St NW NW,M St NW,District of Columbia County,,0
M St. NW,M St NW,District of Columbia County,,88.84266693
Dumbarton St NW,Dumbarton St NW,District of Columbia County,R,89.22925125
Pennsylvania Ave NW,Pennsylvania Ave NW,District of Columbia County,,-75.96375653
