St_label,Angle
24th Street,-66.83466298
41st Street,-66.97450799
Whitehall Street,-88.36342295
62nd Street,-67.40540888
63rd Street,-67.10273688
80th Street,-66.97450799
81st Street,-67.32442697
82nd Street,-67.10273688
84th Street,-67.04194451
25th Street,-67.231816
26th Street,-67.27850185
225th Street,-65.11672517
27th Street,-66.61477894
Beaver Street,-86.68221883
Stone Street,57.99461679
William Street,44.19307054
Frederick Douglass Boulevard,37.07307332
West 122 Street,-67.1902889
West 121 Street,-67.18401335
West 115 Street,-67.06089947
West 114th Street,-67.32442697
Frederick Douglass BoulevardFrederick Do,36.13537661
West 113 Street,-67.18401335
West 111 Street,-67.18401335
West 110 Street,36.02737339
116 Street,-67.08559072
Lenox Avenue,-67.08559072
Adam Clayton Powell Junior Boulevard,-67.31944039
Saint Nicholas Avenue,-66.68689442
38th Street,-66.89819281
40th Street,-67.10944835
Park Place,-65.04231675
East 45th Street,-67.58385252
39th Street,-67.5205656
36th Street,-67.21083011
41 Street,-67.00069835
31st Street,-67.24236368
32nd Street,-67.06089947
37th Street,-67.21083011
108,-67.27850185
Third Street,-63.74134045
North Moore Street,-84.09385889
Research,35.7066914
Manhattan Avenue,-67.35087265
St. Nicholas Avenue,36.86989765
Dyckman Street,71.56505119
Madison,-68.02549201
Jay Street,-82.25965884
Harrison Street,-84.70991879
Barrow Street,-84.24173984
Clarkson Street,-83.75162833
Morton Street,-84.8479183
Morris Street,-72.60667785
Beach Street,-84.80557109
Moore Street,-83.74096369
Ericsson Place,-84.32697786
58th Street,-66.73885953
Barclay Street,-63.86899945
144th Street,-67.22678438
Downing Street,72.82409639
Commerce Street,-83.24642596
Carmine Street,70.87477398
Jones Street,70.61548432
Cornella Street,70.12092565
113th Street,-66.97895228
178th Street,-67.08309738
78th Street,-67.27026792
51th Street,-67.59016263
