OBJECTID,Id,St_label,Labelside,Address,Numberreal,Occupantre,Dm,DetailCat,StreetName,Angle,Direction
21742,118764,Lafayette Street,L,126 LAFAYETTE STREET,126,Lafayette Souvenir,7/20/2007,Candy/Gifts/Cards,Lafayette St,42.23614263,W
21743,118765,Lafayette Street,L,126 LAFAYETTE STREET,126,Hot Fresh Pizza,6/30/2014,Quick Service Restaurant,Lafayette St,42.23614263,W
21744,118766,Lafayette Street,L,251 CANAL STREET,124,Chinese Shop,7/20/2007,Restaurant,Lafayette St,42.23614263,W
21745,118767,Lafayette Street,R,409 BROOME STREET,187,Yette Lafayette Lafaye,10/18/2012,Other,Lafayette St,40.50954808,E
21746,118768,Lafayette Street,,409 BROOME STREET,189,Delete,7/11/2012,,Lafayette St,40.50954808,
21747,118769,Lafayette Street,,409 BROOME STREET,187,Delete,6/30/2014,,Lafayette St,40.50954808,
21748,118770,Lafayette Street,,185 LAFAYETTE STREET,185,Delete,9/14/2012,,Lafayette St,40.50954808,
21749,118771,Lafayette Street,,185 LAFAYETTE STREET,185,Delete,6/30/2014,,Lafayette St,40.50954808,
21750,118772,Lafayette Street,R,179 LAFAYETTE STREET,181,Yau Foot Spa,9/26/2012,Salon/Spa,Lafayette St,40.50954808,E
21751,118773,Lafayette Street,R,179 LAFAYETTE STREET,179,Next Cleaners,7/11/2012,Misc Service,Lafayette St,40.50954808,E
21752,118774,Lafayette Street,R,154 GRAND STREET,177,The Color House,9/26/2012,Misc Service,Lafayette St,40.50954808,E
21753,118775,Lafayette Street,,154 GRAND STREET,177,Delete,7/11/2012,,Lafayette St,40.50954808,
21754,118776,Lafayette Street,R,154 GRAND STREET,177,Vacant (Available),2/5/2014,Vacant,Lafayette St,40.50954808,E
21755,118777,Lafayette Street,R,154 GRAND STREET,177,We Work Lounge,11/4/2010,Misc Service,Lafayette St,40.50954808,E
21756,118778,Lafayette Street,L,413 BROOME STREET,188,Kate's Paperie,6/12/2014,Office Supply/Copy/Shipping,Lafayette St,40.50954808,W
21757,118779,Lafayette Street,L,184 LAFAYETTE STREET,184,Nite Stop,7/11/2012,Fashion:FastFashion/Affordable/Value,Lafayette St,40.50954808,W
21758,118780,Lafayette Street,L,182 LAFAYETTE STREET,182,The Monster Cycle,6/30/2014,Fitness,Lafayette St,40.50954808,W
21759,118781,Lafayette Street,L,180 LAFAYETTE STREET,180,Y Gallery Salon SoHo,7/11/2012,Gallery,Lafayette St,40.50954808,W
21760,118782,Lafayette Street,L,178 LAFAYETTE STREET,178,CM Printing & Design,3/11/2010,Office Supply/Copy/Shipping,Lafayette St,40.50954808,W
21761,118783,Lafayette Street,L,142 GRAND STREET,0,Future Park,6/12/2014,Landmark,Lafayette St,40.50954808,W
21762,118784,Madison Avenue,R,955 MADISON AVENUE,969,Christian Louboutin Women's,6/23/2015,Accessories,Madison Ave,35.7066914,E
21763,118785,64th Street,R,327 EAST 64 STREET,327,Hertz Parking,8/15/2007,Parking,E 64th St,-66.86053824,N
21764,118786,64th Street,R,325 EAST 64 STREET,325,Medical Office,8/15/2007,Medical,E 64th St,-66.86053824,N
21765,118787,64th Street,R,1222 2 AVENUE,301,Gourmet Garage / Parking,8/15/2007,Parking,E 64th St,-66.86053824,N
21766,118788,64th Street,L,340 EAST 64 STREET,0,New Development,8/15/2007,Under Construction,E 64th St,-66.86053824,S
21767,118789,64th Street,R,1222 2 AVENUE,301,Regency East,8/15/2007,Misc Service,E 64th St,-66.86053824,N
21768,118790,64th Street,L,327 EAST 63 STREET,0,Parking,8/15/2007,Parking,E 64th St,-66.86053824,S
21769,106553,Thirteenth Street,R,65 8 AVENUE,301,Gina Le Salon,3/17/2015,Salon/Spa,W 13th St,-67.16634582,N
21770,106554,Thirteenth Street,R,303 WEST 13 STREET,303,Sawicki Tarella Architecture & Design,4/13/2015,Other,W 13th St,-67.16634582,N
21771,106555,Thirteenth Street,R,305 WEST 13 STREET,305,Residential,,Residential,W 13th St,-67.16634582,N
21772,106556,Thirteenth Street,R,317 WEST 13 STREET,317,Residential,11/4/2015,Residential,W 13th St,-66.51588471,N
21773,106557,Thirteenth Street,R,321 WEST 13 STREET,317,Dry Bar,3/17/2015,Salon/Spa,W 13th St,-66.51588471,N
