Address,City,State,Zip,Store Type
4505 La Jolla Village Dr,SAN DIEGO,CA,92122,Petites
2015 BIRCH ROAD,CHULA VISTA,CA,91915,Petites
4345 Camino De La Plaza,SAN YSIDRO,CA,92173,"Factory Store, Petites"
73-425 El Paseo,PALM DESERT,CA,92260,
3699 McKinney Ave.,DALLAS,TX,75204,Shoes
8687 NORTH CENTRAL EXPRESSWAY,DALLAS,TX,75225,Petites
13335 Noel Road,DALLAS,TX,75240,"Shoes, Petites"
2950 WEST INTERSTATE 20,GRAND PRAIRIE,TX,75052,"Factory Store, Petites"
6121 WEST PARK BLVD,PLANO,TX,75093,
3000 GRAPEVINE MILLS PARKWAY,GRAPEVINE,TX,76051,"Factory Store, Petites"
2601 Preston Road,FRISCO,TX,75034,Petites
101 GRAND AVENUE,SOUTHLAKE,TX,76092,Shoes
1101 MELBOURNE RD,HURST,TX,76053,
820 W. Stacy Road,ALLEN,TX,75013,"Factory Store, Petites"
4141 Waller Crk.,HIGHLAND VILLAGE,TX,75077,Shoes
1604 S. UNIVERSITY DRIVE,FORT WORTH,TX,76107,"Shoes, Petites"
2855 Stevens Creek Blvd,SANTA CLARA,CA,95050,Petites
492 GREAT MALL DRIVE,MILPITAS,CA,95035,"Factory Store, Petites"
25 UNIVERSITY AVENUE,LOS GATOS,CA,95030,
172 STANFORD SHOPPING CTR,PALO ALTO,CA,94304,Petites
2201 Stoneridge Mall,PLEASANTON,CA,94588,
2990 LIVERMORE OUTLET DRIVE,LIVERMORE,CA,94551,Factory Store
60 31st Ave,SAN MATEO,CA,94403,"Shoes, Petites"
681 LEAVESLEY RD,GILROY,CA,95020,"Factory Store, Petites"
1295 MARINA BLVD,SAN LEANDRO,CA,94577,Factory Store
1218 Burlingame Ave,BURLINGAME,CA,94010,
1281 BROADWAY PLAZA,WALNUT CREEK,CA,94596,Petites
5636 Bay St,EMERYVILLE,CA,94608,Petites
5695 BAY STREET,EMERYVILLE,CA,94608,
865 MARKET STREET,SAN FRANCISCO,CA,94103,Petites
3251 20th Avenue,SAN FRANCISCO,CA,94132,Petites
256 Grant Ave.,SAN FRANCISCO,CA,94108,"Shoes, Petites"
2 EMBARCADERO CENTER,SAN FRANCISCO,CA,94111,Shoes
910 LIFESTYLE STREET,MANTECA,CA,95337,"Factory Store, Petites"
1410 DEL MONTE CENTER,MONTEREY,CA,93940,
1516 REDWOOD HIGHWAY,CORTE MADERA,CA,94925,"Shoes, Petites"
809 FACTORY STORES DRIVE,NAPA,CA,94558,"Factory Store, Petites"
131 NUT TREE RD,VACAVILLE,CA,95687,Factory Store
2200 PETALUMA BLVD. N.,PETALUMA,CA,94952,"Factory Store, Petites"
1689 ARDEN WAY,SACRAMENTO,CA,95815,"Shoes, Petites"
13000 FOLSOM BLVD.,FOLSOM,CA,95630,Factory Store
4401 NORTH INTERSTATE HIGHWAY 35,ROUND ROCK,TX,78664,"Factory Store, Petites"
4711 River City Drive,JACKSONVILLE,FL,32246,Petites
10300 Southside Blvd,JACKSONVILLE,FL,32256,Shoes
2700 STATE ROAD 16,ST AUGUSTINE,FL,32092,"Factory Store, Petites"
6281 NEWBURY ROAD,GAINESVILLE,FL,32605,
BANANA REPUBLIC OUTLET,DAYTONA BEACH,FL,32117,Factory Store
1151 Galleria Blvd,ROSEVILLE,CA,95678,"Shoes, Petites"
49 WEST MARYLAND ST.,INDIANAPOLIS,IN,46204,
8701 Keystone at the Crossing,INDIANAPOLIS,IN,46240,Shoes
11721 N EXECUTIVE DR,EDINBURGH,IN,46124,"Factory Store, Petites"
3961 EASTON STA,COLUMBUS,OH,43219,Shoes
5043 TUTTLE CROSSING BLVD,DUBLIN,OH,43016,
1500 Polaris Parkway,COLUMBUS,OH,43240,"Shoes, Petites"
400 SOUTH WILSON ROAD,SUNBURY,OH,43074,Factory Store
8265 FACTORY SHOPS BLVD,JEFFERSONVILLE,OH,43128,"Factory Store, Petites"
4435 GLENNGARRY RD,BEAVERCREEK,OH,45440,
601 PREMIUM OUTLET DRIVE,MONROE,OH,45050,"Factory Store, Petites"
7875 MONTGOMERY ROAD,CINCINNATI,OH,45236,Petites
2667 EDMONDSON RD,CINCINNATI,OH,45209,"Shoes, Petites"
4400 Sharon Rd.,CHARLOTTE,NC,28211,"Shoes, Petites"
5410 NEW FASHION WAY,CHARLOTTE,NC,28278,Factory Store
6801 Northlake Mall Drive,CHARLOTTE,NC,28216,Shoes
8111 Concord Mills Blvd.,CONCORD,NC,28027,"Factory Store, Petites"
9812 REA ROAD,CHARLOTTE,NC,28277,"Shoes, Petites"
8605 TOWNLEY RD,HUNTERSVILLE,NC,28078,Shoes
